algorithm,split,class_label,branch_count,extra_branch_count,extra_confusers_json
src_v9,0,0,3,2,"[1, 2]"
src_v9,0,1,3,2,"[2, 3]"
src_v9,0,2,3,2,"[3, 4]"
src_v9,0,3,3,2,"[2, 4]"
src_v9,0,4,3,2,"[3, 2]"
src_v9,1,0,3,2,"[1, 2]"
src_v9,1,1,3,2,"[2, 3]"
src_v9,1,2,3,2,"[3, 4]"
src_v9,1,3,3,2,"[4, 2]"
src_v9,1,4,3,2,"[3, 2]"
src_v9,2,0,3,2,"[1, 3]"
src_v9,2,1,3,2,"[0, 2]"
src_v9,2,2,3,2,"[3, 0]"
src_v9,2,3,3,2,"[2, 4]"
src_v9,2,4,3,2,"[3, 2]"
src_v9,3,0,3,2,"[1, 2]"
src_v9,3,1,3,2,"[0, 2]"
src_v9,3,2,3,2,"[1, 0]"
src_v9,3,3,3,2,"[2, 4]"
src_v9,3,4,3,2,"[3, 2]"
src_v9,4,0,3,2,"[1, 2]"
src_v9,4,1,3,2,"[0, 2]"
src_v9,4,2,3,2,"[3, 0]"
src_v9,4,3,3,2,"[2, 4]"
src_v9,4,4,3,2,"[3, 2]"
src_v9,5,0,3,2,"[1, 2]"
src_v9,5,1,3,2,"[2, 0]"
src_v9,5,2,3,2,"[3, 0]"
src_v9,5,3,3,2,"[2, 4]"
src_v9,5,4,3,2,"[2, 3]"
src_v9,6,0,3,2,"[1, 3]"
src_v9,6,1,3,2,"[0, 2]"
src_v9,6,2,3,2,"[3, 4]"
src_v9,6,3,3,2,"[2, 4]"
src_v9,6,4,3,2,"[3, 2]"
src_v9,7,0,3,2,"[1, 2]"
src_v9,7,1,3,2,"[2, 0]"
src_v9,7,2,3,2,"[3, 0]"
src_v9,7,3,3,2,"[2, 0]"
src_v9,7,4,3,2,"[2, 3]"
src_v9,8,0,3,2,"[1, 3]"
src_v9,8,1,3,2,"[0, 2]"
src_v9,8,2,3,2,"[3, 4]"
src_v9,8,3,3,2,"[2, 4]"
src_v9,8,4,3,2,"[3, 2]"
src_v9,9,0,3,2,"[1, 2]"
src_v9,9,1,3,2,"[2, 0]"
src_v9,9,2,3,2,"[3, 4]"
src_v9,9,3,3,2,"[4, 2]"
src_v9,9,4,3,2,"[2, 3]"
src_v10,0,0,3,2,"[1, 2]"
src_v10,0,1,3,2,"[0, 2]"
src_v10,0,2,3,2,"[3, 0]"
src_v10,0,3,3,2,"[2, 1]"
src_v10,0,4,2,1,[3]
src_v10,1,0,2,1,[2]
src_v10,1,1,3,2,"[0, 2]"
src_v10,1,2,3,2,"[3, 0]"
src_v10,1,3,2,1,[2]
src_v10,1,4,2,1,[3]
src_v10,2,0,2,1,[1]
src_v10,2,1,3,2,"[0, 2]"
src_v10,2,2,3,2,"[3, 1]"
src_v10,2,3,2,1,[2]
src_v10,2,4,3,2,"[3, 0]"
src_v10,3,0,3,2,"[1, 2]"
src_v10,3,1,3,2,"[0, 2]"
src_v10,3,2,3,2,"[3, 0]"
src_v10,3,3,2,1,[2]
src_v10,3,4,3,2,"[3, 0]"
src_v10,4,0,2,1,[1]
src_v10,4,1,2,1,[0]
src_v10,4,2,3,2,"[3, 0]"
src_v10,4,3,2,1,[2]
src_v10,4,4,2,1,[3]
src_v10,5,0,2,1,[1]
src_v10,5,1,3,2,"[0, 2]"
src_v10,5,2,3,2,"[3, 0]"
src_v10,5,3,2,1,[2]
src_v10,5,4,2,1,[3]
src_v10,6,0,2,1,[1]
src_v10,6,1,3,2,"[0, 2]"
src_v10,6,2,3,2,"[3, 0]"
src_v10,6,3,2,1,[2]
src_v10,6,4,2,1,[3]
src_v10,7,0,2,1,[1]
src_v10,7,1,3,2,"[0, 2]"
src_v10,7,2,3,2,"[3, 1]"
src_v10,7,3,3,2,"[2, 0]"
src_v10,7,4,2,1,[2]
src_v10,8,0,3,2,"[1, 3]"
src_v10,8,1,3,2,"[0, 2]"
src_v10,8,2,3,2,"[3, 1]"
src_v10,8,3,2,1,[2]
src_v10,8,4,2,1,[3]
src_v10,9,0,3,2,"[1, 2]"
src_v10,9,1,3,2,"[0, 2]"
src_v10,9,2,3,2,"[3, 1]"
src_v10,9,3,3,2,"[2, 0]"
src_v10,9,4,2,1,[3]


