parameter,value,n_configs,mean_val,mean_test,mean_n_wrong_test,mean_n_wrong_all
lambda_smooth,0.1,11,0.4146402294550443,0.4567384370015949,247.72727272727272,674.4545454545455
lambda_smooth,0.05,9,0.4144185337600975,0.45784600389863545,247.22222222222223,674.1111111111111
ridge_alpha,0.3,20,0.41454046639231823,0.45723684210526316,247.5,674.3
alpha_sub,0.5,20,0.41454046639231823,0.45723684210526316,247.5,674.3
beta_ridge,1.0,20,0.41454046639231823,0.45723684210526316,247.5,674.3
gamma_geom,0.0,9,0.41426611796982166,0.45906432748538006,246.66666666666666,673.6666666666666
gamma_geom,0.25,11,0.4147649332834518,0.4557416267942584,248.1818181818182,674.8181818181819
lambda_compat,0.0,8,0.4159807956104252,0.45833333333333337,247.0,672.75
lambda_compat,0.1,8,0.41392318244170095,0.4575109649122807,247.375,674.625
lambda_compat,0.2,4,0.4128943758573388,0.4544956140350877,248.75,676.75
dim,8,11,0.4146402294550443,0.46112440191387555,245.72727272727272,672.4545454545455
dim,10,9,0.4144185337600975,0.4524853801169591,249.66666666666666,676.5555555555555
local_rank,3,20,0.41454046639231823,0.45723684210526316,247.5,674.3
preprocess_mode,raw,20,0.41454046639231823,0.45723684210526316,247.5,674.3
feature_mode,rnr_plus_raw,20,0.41454046639231823,0.45723684210526316,247.5,674.3
rnr_variant,full,20,0.41454046639231823,0.45723684210526316,247.5,674.3


