split,best_dim,val_acc_full,test_acc_full,val_acc_root_same_dim,test_acc_root_same_dim,total_branches,extra_branches,val_changed_vs_root,val_fixed_vs_root,val_broken_vs_root,val_wrong_redirect_vs_root,test_changed_vs_root,test_fixed_vs_root,test_broken_vs_root,test_wrong_redirect_vs_root
0,64,0.691358024691358,0.6973684210526315,0.6886145404663924,0.6951754385964912,14,9,27,10,8,9,12,4,3,5
1,32,0.6790123456790124,0.7346491228070176,0.6707818930041153,0.7302631578947368,12,7,20,11,5,4,20,6,4,10
2,64,0.7146776406035665,0.6710526315789473,0.700960219478738,0.6469298245614035,13,8,21,14,4,3,17,12,1,4
3,64,0.7119341563786008,0.6644736842105263,0.6941015089163237,0.6557017543859649,14,9,23,16,3,4,13,7,3,3
4,32,0.7050754458161865,0.6951754385964912,0.7050754458161865,0.7017543859649122,11,6,20,9,9,2,11,2,5,4
5,48,0.7091906721536351,0.6995614035087719,0.7091906721536351,0.6995614035087719,12,7,24,10,10,4,16,6,6,4
6,64,0.6872427983539094,0.6710526315789473,0.6831275720164609,0.6578947368421053,12,7,13,7,4,2,14,8,2,4
7,48,0.6529492455418381,0.6842105263157895,0.6529492455418381,0.6776315789473685,13,8,28,12,12,4,10,5,2,3
8,32,0.7023319615912208,0.668859649122807,0.6899862825788752,0.6710526315789473,13,8,28,14,5,9,8,2,3,3
9,48,0.6995884773662552,0.6798245614035088,0.6886145404663924,0.668859649122807,14,9,20,11,3,6,10,6,1,3


