split,best_dim,val_acc,test_acc,total_branches,extra_branches
0,64,0.691358024691358,0.6973684210526315,14,9
1,32,0.6790123456790124,0.7346491228070176,12,7
2,64,0.7146776406035665,0.6710526315789473,13,8
3,64,0.7119341563786008,0.6644736842105263,14,9
4,32,0.7050754458161865,0.6951754385964912,11,6
5,48,0.7091906721536351,0.6995614035087719,12,7
6,64,0.6872427983539094,0.6710526315789473,12,7
7,48,0.6529492455418381,0.6842105263157895,13,8
8,32,0.7023319615912208,0.668859649122807,13,8
9,48,0.6995884773662552,0.6798245614035088,14,9


